Country,Year,Population Percent,Educational Level,Income,Employment Rate (%),Gini Index(0-100)
Ireland,2023,36.0,Level 3-4,32723.0,75.5,27.4
Greece,2023,47.8,Level 3-4,11023.0,63.4,31.8
Spain,2023,25.2,Level 3-4,19404.0,66.1,31.5
France,2023,41.3,Level 3-4,25511.0,71.4,29.7
Croatia,2023,60.0,Level 3-4,10835.0,69.1,29.7
Italy,2023,44.1,Level 3-4,23335.0,68.3,31.5
Cyprus,2023,36.3,Level 3-4,20425.0,76.6,29.6
Latvia,2023,50.0,Level 3-4,11809.0,73.6,34.0
Lithuania,2023,47.5,Level 3-4,12215.0,72.0,35.7
Luxembourg,2023,30.6,Level 3-4,49827.0,67.6,30.6
