Country Name,Year,Value,Disaggregation
Greece,2018,59.942,"Intermediate, total"
Greece,2017,60.461,"Intermediate, total"
Hungary,2023,64.697,"Intermediate, total"
Hungary,2022,65.078,"Intermediate, total"
Hungary,2021,64.849,"Intermediate, total"
Hungary,2020,63.484,"Intermediate, total"
Hungary,2019,64.117,"Intermediate, total"
Hungary,2018,63.942,"Intermediate, total"
Hungary,2017,64.143,"Intermediate, total"
Iceland,2023,73.075,"Intermediate, total"
Iceland,2022,71.841,"Intermediate, total"
Iceland,2021,71.756,"Intermediate, total"
Iceland,2020,80.079,"Intermediate, total"
Iceland,2019,82.266,"Intermediate, total"
Iceland,2018,83.285,"Intermediate, total"
Iceland,2017,84.734,"Intermediate, total"
Ireland,2023,68.194,"Intermediate, total"
Ireland,2022,66.443,"Intermediate, total"
Ireland,2021,65.804,"Intermediate, total"
Ireland,2020,64.15,"Intermediate, total"
Ireland,2019,67.35,"Intermediate, total"
Ireland,2018,67.443,"Intermediate, total"
Ireland,2017,66.541,"Intermediate, total"
Italy,2023,62.34,"Intermediate, total"
Italy,2022,62.3,"Intermediate, total"
Italy,2021,61.716,"Intermediate, total"
Italy,2020,61.181,"Intermediate, total"
Italy,2019,63.182,"Intermediate, total"
Italy,2018,63.552,"Intermediate, total"
Italy,2017,63.934,"Intermediate, total"
Latvia,2023,61.472,"Intermediate, total"
Latvia,2022,61.722,"Intermediate, total"
Latvia,2021,60.393,"Intermediate, total"
Latvia,2020,70.602,"Intermediate, total"
Latvia,2019,67.974,"Intermediate, total"
Latvia,2018,70.259,"Intermediate, total"
Latvia,2017,69.641,"Intermediate, total"
Lithuania,2023,59.878,"Intermediate, total"
Lithuania,2022,60.138,"Intermediate, total"
Lithuania,2021,60.315,"Intermediate, total"
Lithuania,2020,61.479,"Intermediate, total"
Lithuania,2019,61.353,"Intermediate, total"
Lithuania,2018,62.232,"Intermediate, total"
Lithuania,2017,62.237,"Intermediate, total"
Luxembourg,2023,57.36,"Intermediate, total"
Luxembourg,2022,56.251,"Intermediate, total"
Luxembourg,2021,57.4,"Intermediate, total"
Luxembourg,2020,58.467,"Intermediate, total"
Luxembourg,2019,59.153,"Intermediate, total"
Luxembourg,2018,60.437,"Intermediate, total"
Luxembourg,2017,60.798,"Intermediate, total"
Malta,2023,76.218,"Intermediate, total"
Malta,2022,77.815,"Intermediate, total"
Malta,2021,75.076,"Intermediate, total"
Malta,2020,73.425,"Intermediate, total"
Malta,2019,72.965,"Intermediate, total"
Malta,2018,72.059,"Intermediate, total"
Malta,2017,72.457,"Intermediate, total"
Montenegro,2020,56.82,"Intermediate, total"
Montenegro,2019,61.813,"Intermediate, total"
Montenegro,2018,60.678,"Intermediate, total"
Montenegro,2017,59.25,"Intermediate, total"
Netherlands,2023,72.024,"Intermediate, total"
Netherlands,2022,71.39,"Intermediate, total"
Netherlands,2021,70.781,"Intermediate, total"
Netherlands,2020,68.765,"Intermediate, total"
Netherlands,2019,69.472,"Intermediate, total"
Netherlands,2018,69.326,"Intermediate, total"
Netherlands,2017,69.04,"Intermediate, total"
North Macedonia,2023,58.635,"Intermediate, total"
North Macedonia,2022,62.778,"Intermediate, total"
North Macedonia,2021,64.432,"Intermediate, total"
North Macedonia,2020,64.45,"Intermediate, total"
North Macedonia,2019,66.052,"Intermediate, total"
North Macedonia,2018,66.076,"Intermediate, total"
North Macedonia,2017,66.593,"Intermediate, total"
Norway,2023,61.996,"Intermediate, total"
Norway,2022,62.496,"Intermediate, total"
Norway,2021,68.962,"Intermediate, total"
Norway,2020,69.244,"Intermediate, total"
Norway,2019,69.654,"Intermediate, total"
Norway,2018,70.158,"Intermediate, total"
Norway,2017,69.437,"Intermediate, total"
Poland,2023,59.422,"Intermediate, total"
Poland,2022,60.107,"Intermediate, total"
Poland,2021,59.811,"Intermediate, total"
Poland,2020,57.392,"Intermediate, total"
Poland,2019,57.942,"Intermediate, total"
Poland,2018,58.421,"Intermediate, total"
Poland,2017,59.167,"Intermediate, total"
Portugal,2023,74.942,"Intermediate, total"
Portugal,2022,73.959,"Intermediate, total"
Portugal,2021,71.909,"Intermediate, total"
Portugal,2020,72.399,"Intermediate, total"
Portugal,2019,75.357,"Intermediate, total"
Portugal,2018,74.937,"Intermediate, total"
Portugal,2017,75.053,"Intermediate, total"
Romania,2023,56.607,"Intermediate, total"
Romania,2022,56.949,"Intermediate, total"
Romania,2021,57.055,"Intermediate, total"
Romania,2020,61.693,"Intermediate, total"
Romania,2019,62.574,"Intermediate, total"
Romania,2018,63.827,"Intermediate, total"
Romania,2017,63.82,"Intermediate, total"
Serbia,2023,63.576,"Intermediate, total"
Serbia,2022,62.926,"Intermediate, total"
Serbia,2021,62.437,"Intermediate, total"
Serbia,2020,60.143,"Intermediate, total"
Serbia,2019,60.718,"Intermediate, total"
Serbia,2018,61.207,"Intermediate, total"
Serbia,2017,60.725,"Intermediate, total"
Slovenia,2023,60.832,"Intermediate, total"
Slovenia,2022,58.651,"Intermediate, total"
Slovenia,2021,57.848,"Intermediate, total"
Slovenia,2020,58.792,"Intermediate, total"
Slovenia,2019,60.076,"Intermediate, total"
Slovenia,2018,61.288,"Intermediate, total"
Slovenia,2017,60.436,"Intermediate, total"
Spain,2023,62.981,"Intermediate, total"
Spain,2022,63.879,"Intermediate, total"
Spain,2021,63.099,"Intermediate, total"
Spain,2020,62.621,"Intermediate, total"
Spain,2019,66.127,"Intermediate, total"
Spain,2018,65.8,"Intermediate, total"
Spain,2017,66.614,"Intermediate, total"
Sweden,2023,68.661,"Intermediate, total"
Sweden,2022,67.973,"Intermediate, total"
Sweden,2021,69.248,"Intermediate, total"
Sweden,2020,76.968,"Intermediate, total"
Sweden,2019,76.66,"Intermediate, total"
