Country,Year,Population Percent,Educational Level
Croatia,2021,22.3,Level 5-8
Italy,2021,17.8,Level 5-8
Cyprus,2021,42.8,Level 5-8
Latvia,2021,34.2,Level 5-8
Lithuania,2021,39.8,Level 5-8
Luxembourg,2021,44.5,Level 5-8
Hungary,2021,25.5,Level 5-8
Malta,2021,29.6,Level 5-8
Netherlands,2021,37.5,Level 5-8
Austria,2021,31.8,Level 5-8
Poland,2021,29.4,Level 5-8
Portugal,2021,26.2,Level 5-8
Romania,2021,16.4,Level 5-8
Slovenia,2021,35.4,Level 5-8
Slovakia,2021,24.7,Level 5-8
Finland,2021,35.5,Level 5-8
Sweden,2021,39.6,Level 5-8
Iceland,2021,35.8,Level 5-8
Norway,2021,40.6,Level 5-8
Switzerland,2021,39.2,Level 5-8
United Kingdom,2021,:,Level 5-8
Bosnia and Herzegovina,2021,14.2,Level 5-8
Montenegro,2021,:,Level 5-8
North Macedonia,2021,:,Level 5-8
Serbia,2021,22,Level 5-8
Türkiye,2021,20.4,Level 5-8
Belgium,2022,40.2,Level 5-8
Bulgaria,2022,26.3,Level 5-8
Czechia,2022,23.5,Level 5-8
Denmark,2022,35,Level 5-8
Germany,2022,27.9,Level 5-8
Estonia,2022,36.7,Level 5-8
Ireland,2022,46.1,Level 5-8
Greece,2022,30.5,Level 5-8
Spain,2022,36.5,Level 5-8
France,2022,36.9,Level 5-8
Croatia,2022,22.8,Level 5-8
Italy,2022,18.1,Level 5-8
Cyprus,2022,44,Level 5-8
Latvia,2022,34.5,Level 5-8
Lithuania,2022,41.3,Level 5-8
Luxembourg,2022,46,Level 5-8
Hungary,2022,25.6,Level 5-8
Malta,2022,29.4,Level 5-8
Netherlands,2022,38.8,Level 5-8
Austria,2022,32.5,Level 5-8
Poland,2022,30,Level 5-8
Portugal,2022,26.8,Level 5-8
Romania,2022,17.1,Level 5-8
Slovenia,2022,35.1,Level 5-8
Slovakia,2022,26,Level 5-8
Finland,2022,35.9,Level 5-8
Sweden,2022,41.1,Level 5-8
Iceland,2022,36.4,Level 5-8
Norway,2022,41.1,Level 5-8
Switzerland,2022,39,Level 5-8
United Kingdom,2022,:,Level 5-8
Bosnia and Herzegovina,2022,14.2,Level 5-8
Montenegro,2022,:,Level 5-8
North Macedonia,2022,:,Level 5-8
Serbia,2022,22.6,Level 5-8
Türkiye,2022,21,Level 5-8
Belgium,2023,39.1,Level 5-8
Bulgaria,2023,26.7,Level 5-8
Czechia,2023,23.5,Level 5-8
Denmark,2023,35.5,Level 5-8
Germany,2023,29,Level 5-8
Estonia,2023,36,Level 5-8
Ireland,2023,46.6,Level 5-8
Greece,2023,29.9,Level 5-8
Spain,2023,37.1,Level 5-8
France,2023,37.6,Level 5-8
Croatia,2023,24.9,Level 5-8
Italy,2023,19.2,Level 5-8
Cyprus,2023,46,Level 5-8
Latvia,2023,34,Level 5-8
